name,year,latitude,longitude,city,region,zipCode,cuisine,price_range,url,stars
Métier,2019,38.903503,-77.0218,Washington_DC,Washington_DC,20001,Contemporary,4,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/metier,1
Kinship,2019,38.903282,-77.0218,Washington_DC,Washington_DC,20001,Contemporary,3,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/kinship,1
Fiola,2019,38.89416,-77.02032,Washington_DC,Washington_DC,20004,Italian,4,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/fiola,1
Masseria,2019,38.909504,-76.99908,Washington_DC,Washington_DC,20002,Italian,3,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/masseria,1
Rose's_Luxury,2019,38.88064,-76.99515,Washington_DC,Washington_DC,20003,Contemporary,2,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/rose-s-luxury,1
Baumé,2019,37.4285,-122.14272,South_San_Francisco,California,94306,Contemporary,4,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/baume,2
Commis,2019,37.82476,-122.25505,San_Francisco,California,94601,Contemporary,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/commis,2
Californios,2019,37.75555,-122.417145,San_Francisco,California,94110,Mexican,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/californios,2
Lazy_Bear,2019,37.760204,-122.41969,San_Francisco,California,94110,Contemporary,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/lazy-bear,2
Saison,2019,37.76327,-122.41543,San_Francisco,California,94107,Californian,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/saison,2
Campton_Place,2019,37.78923,-122.40665,San_Francisco,California,94108,Indian,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/campton-place,2
Coi,2019,37.79812,-122.40331,San_Francisco,California,94133,Contemporary,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/coi,2
Acquerello,2019,37.79167,-122.42131,San_Francisco,California,94109,Italian,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/acquerello,2
Urasawa,2019,34.067352,-118.40067,Los_Angeles,California,90210,Japanese,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/urasawa,2
Sushi_Ginza_Onodera,2019,34.08238,-118.37654,Los_Angeles,California,90069,Japanese,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/sushi-ginza-onodera559850,2
Somni,2019,34.070095,-118.37649,Los_Angeles,California,90048,Contemporary,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/somni,2
Providence,2019,34.083523,-118.33019,Los_Angeles,California,90028,Seafood,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/providence,2
n/naka,2019,34.02526,-118.41206,Los_Angeles,California,90034,Contemporary,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/n-naka,2
Vespertine,2019,34.024204,-118.38166,Los_Angeles,California,90232,Contemporary,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/vespertine,2
Smyth,2019,41.885,-87.660736,Chicago,Chicago,60607,Contemporary,4,https://guide.michelin.com/us/en/illinois/chicago/restaurant/smyth,2
Oriole,2019,41.886196,-87.64513,Chicago,Chicago,60661,Contemporary,4,https://guide.michelin.com/us/en/illinois/chicago/restaurant/oriole,2
Acadia,2019,41.85904,-87.62562,Chicago,Chicago,60616,Contemporary,4,https://guide.michelin.com/us/en/illinois/chicago/restaurant/acadia,2
L'Atelier_de_Joël_Robuchon,2019,40.742905,-74.00769,New_York,New_York_City,10011,French,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/l-atelier-de-joel-robuchon562505,2
Jungsik,2019,40.718685,-74.00911,New_York,New_York_City,10013,Korean,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jungsik,2
Atera,2019,40.716797,-74.00565,New_York,New_York_City,10013,Contemporary,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/atera,2
Jean-Georges,2019,40.76907,-73.98155,New_York,New_York_City,10023,Contemporary,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jean-georges,2
Marea,2019,40.76749,-73.98114,New_York,New_York_City,10019,Seafood,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/marea,2
